alloy,al_percent,Ag,B,Be,Bi,Ca,Cd,Ce,Cr,Cu,Fe,Ge,Li,Mg,Mn,Na,Ni,O,Pb,Sc,Si,Ti,V,Y,Zn,Zr
4006,98.3,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4007,96.3,0,0,0,0,0,0,0,0.1,0,0.7,0,0,0,1.2,0,0.3,0,0,0,1.4,0,0,0,0,0
4015,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,2,0,0,0,0,0
4032,85,0,0,0,0,0,0,0,0,0.9,0,0,0,1,0,0,0.9,0,0,0,12.2,0,0,0,0,0
4043,94.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0
4047,85.5,0,0,0,0,0,0,0,0,0.3,0.8,0,0,0.1,0.15,0,0,0,0,0,6,0,0,0,0.2,0
4543,93.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,6,0,0,0,0,0
5005,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
5010,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0
5019,94.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.25,0,0,0,0,0,0,0,0,0,0,0
5024,94.5,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0.6,0,0,0,0,0.2,0,0,0,0,0,0.1
5026,93.9,0,0,0,0,0,0,0,0,0.3,0.4,0,0,4.5,1,0,0,0,0,0,0.9,0,0,0,0,0
5050,98.6,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0
5052,97.2,0,0,0,0,0,0,0,0.25,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
5056,94.8,0,0,0,0,0,0,0,0.12,0,0,0,0,5,0.12,0,0,0,0,0,0,0,0,0,0,0
5059,93.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8,0,0,0,0,0,0,0,0,0,0.6,0.12
5083,94.8,0,0,0,0,0,0,0,0.15,0,0,0,0,4.4,0.7,0,0,0,0,0,0,0,0,0,0,0
5086,95.4,0,0,0,0,0,0,0,0.15,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0,0
5154,96.2,0,0,0,0,0,0,0,0.25,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
5182,95.2,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.35,0,0,0,0,0,0,0,0,0,0,0
5252,97.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
5356,94.6,0,0,0,0,0,0,0,0.12,0,0,0,0,5,0.12,0,0,0,0,0,0,0.13,0,0,0,0
5454,96.4,0,0,0,0,0,0,0,0.12,0,0,0,0,2.7,0.8,0,0,0,0,0,0,0,0,0,0,0
5456,94,0,0,0,0,0,0,0,0.12,0,0,0,0,5.1,0.8,0,0,0,0,0,0,0,0,0,0,0
5457,98.7,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0
5557,99.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0
